Identifier (RIC),Company Name,Exchange Name,Market Cap,IPO Date,Ticker Symbol,Trading Symbol,"Price Close
(USD)"
ARCB.OQ,ArcBest Corporation,Nasdaq Stock Exchange Global Select Market,"3,108,849,827.86",13/05/1992,ARCB,ARCB,139.09
ACGL.OQ,Arch Capital Group Ltd.,Nasdaq Stock Exchange Global Select Market,"34,368,597,570.72",13/09/1995,ACGL,ACGL,100.72
ADM.N,Archer-Daniels-Midland Co,New York Stock Exchange,"38,600,143,002.47",24/12/1924,ADM,ADM,80.09
AROC.N,"Archrock, Inc.",New York Stock Exchange,"5,552,960,318.95",24/05/2000,AROC,AROC,31.67
ARCO.N,Arcos Dorados Holdings Inc.,New York Stock Exchange,"1,668,915,499.95",14/04/2011,ARCO,ARCO,8.01
ASC.N,Ardmore Shipping Corp,New York Stock Exchange,"693,664,752.60",31/07/2013,ASC,ASC,16.98
ARCC.OQ,Ares Capital Corp,Nasdaq Stock Exchange Global Select Market,"14,288,654,615.50",08/10/2012,ARCC,ARCC,19.90
ACRE.N,Ares Commercial Real Estate Corp,New York Stock Exchange,"256,877,553.19",26/04/2012,ACRE,ACRE,4.63
ARDC.N,Ares Dynamic Credit Allocation Fund Inc,New York Stock Exchange,"294,781,455.60",28/11/2012,ARDC,ARDC,12.30
ARES.N,Ares Management Corporation,New York Stock Exchange,"46,892,618,993.42",02/05/2014,ARES,ARES,141.98
AGX.N,"Argan, Inc.",New York Stock Exchange,"6,380,860,272.05",17/07/1970,AGX,AGX,455.15
ANET.N,Arista Networks Inc,New York Stock Exchange,"255,082,685,058.00",06/06/2014,ANET,ANET,202.25
ARR.N,"ARMOUR Residential REIT, Inc.",New York Stock Exchange,"2,295,990,406.12",03/12/2007,ARR,ARR,16.22
AWI.N,"Armstrong World Industries, Inc.",New York Stock Exchange,"7,513,485,206.28",11/10/2006,AWI,AWI,177.78
AD.N,Array Digital Infrastructure Inc,New York Stock Exchange,"3,083,841,140.00",04/05/1988,AD,AD,35.66
ARW.N,"Arrow Electronics, Inc.",New York Stock Exchange,"10,542,513,103.30",26/02/1979,ARW,ARW,207.10
AROW.OQ,Arrow Financial Corp,Nasdaq Stock Exchange Global Select Market,"704,827,660.15",18/09/1980,AROW,AROW,38.05
ARWR.OQ,"Arrowhead Pharmaceuticals, Inc.",Nasdaq Stock Exchange Global Select Market,"12,588,598,099.04",14/12/1993,ARWR,ARWR,89.12
BANX.OQ,ArrowMark Financial Corp.,Nasdaq Stock Exchange Global Select Market,"199,138,834.96",07/11/2013,BANX,BANX,20.56
ARTNA.OQ,Artesian Resources Corp,Nasdaq Stock Exchange Global Select Market,"364,150,280.85",04/04/1994,ARTNA,ARTNA,35.43
AJG.N,Arthur J. Gallagher & Co.,New York Stock Exchange,"67,927,189,000.00",21/06/1984,AJG,AJG,265.03
APAM.N,Artisan Partners Asset Management Inc,New York Stock Exchange,"3,529,093,281.57",07/03/2013,APAM,APAM,43.53
AORT.N,Artivion Inc,New York Stock Exchange,"1,326,169,211.20",12/02/1993,AORT,AORT,27.20
